name,fuel,capacity,owner,cost,average_generation,annual_revenue,annual_operating_expense,annual_profit,payback_period,npv,roi,irr
Abbots Ripton,1,24.66717,Octopus Investment,34.534038,37384.84588,7.477162626,0.934621147,6.542541479,5.278382737,89.50031042,259.1654947,6.366619788
Gib Lane (Aston Clinton solar park),1,24.2,CEE,33.88,36676.81661,7.335556772,0.916920415,6.418636357,5.278379724,87.80531972,259.1656426,6.366625705
Stowbridge Farm,1,24,Magnetar Solar,33.6,36373.70242,7.274933934,0.909342561,6.365591374,5.278378398,87.07967779,259.1657077,6.366628308
Tiers Cross Solar Farm,1,24,Good Energy Generation,33.6,36373.70242,7.274933934,0.909342561,6.365591374,5.278378398,87.07967779,259.1657077,6.366628308
Bury Lane,1,22.21587,Vortex (formerly Sun Edison),31.102218,33669.72685,6.73413882,0.841743171,5.892395649,5.278365516,80.60648012,259.1663402,6.366653609
Chelveston II,1,22.1,,30.94,33494.11765,6.699016979,0.837352941,5.861664038,5.278364607,80.18607947,259.1663848,6.366655393
Tonge Corner Farm,1,22,Martifer Solar (Voltalia),30.8,33342.56055,6.668705561,0.833564014,5.835141547,5.278363816,79.8232585,259.1664237,6.366656949
Mount Farm,1,22,INRG (Solar Park) 14,30.8,33342.56055,6.668705561,0.833564014,5.835141547,5.278363816,79.8232585,259.1664237,6.366656949
Chalgrove Solar,1,21.34044,Chalgrove Solar,29.876616,32342.95059,6.468783568,0.808573765,5.660209803,5.278358407,77.43023655,259.1666893,6.366667571
Langenhoe Solar Farm,1,21.3,NextEnergy Solar Fund,29.82,32281.6609,6.45652563,0.807041522,5.649484107,5.278358065,77.28351175,259.1667061,6.366668243
Grange Farm (Avon),1,21,Solar Power South,29.4,31826.98962,6.365591374,0.79567474,5.569916633,5.278355483,76.19504886,259.1668329,6.366673314
Lackford Estate Solar Park,1,20.9,Lackford Estate Solar Park Ltd,29.26,31675.43253,6.335279955,0.791885813,5.543394142,5.278354606,75.8322279,259.1668759,6.366675037
Gaultney Solar Park,1,20.5,United Photovoltaics,28.7,31069.20415,6.21403428,0.776730104,5.437304177,5.278351011,74.38094404,259.1670524,6.366682096
Verwood Solar Farm,1,20.4,Wirsol Solar UK,28.56,30917.64706,6.183722862,0.772941176,5.410781685,5.278350091,74.01812307,259.1670976,6.366683904
Scottow West,1,20,,28,30311.41869,6.062477187,0.757785467,5.30469172,5.278346317,72.56683922,259.1672829,6.366691317
Chapel Lane Parley Solar Farm Phase 1,1,20,Solar Power Generation Limited,28,30311.41869,6.062477187,0.757785467,5.30469172,5.278346317,72.56683922,259.1672829,6.366691317
Sycamore Farm,1,20,BNRG Renewables,28,30311.41869,6.062477187,0.757785467,5.30469172,5.278346317,72.56683922,259.1672829,6.366691317
Cockhill Solar Farm,1,20,Next Energy Solar Fund Ltd,28,30311.41869,6.062477187,0.757785467,5.30469172,5.278346317,72.56683922,259.1672829,6.366691317
Aston House Solar Farm,1,20,Solar century / Magnetar Solar,28,30311.41869,6.062477187,0.757785467,5.30469172,5.278346317,72.56683922,259.1672829,6.366691317
North Creake Airfield (Resubmission),1,20,British Solar Renewables (formerly known as Solar Power Generation),28,30311.41869,6.062477187,0.757785467,5.30469172,5.278346317,72.56683922,259.1672829,6.366691317
Says Court,1,19.807,AEE Renewables,28.72015,30018.91349,6.003976149,0.750472837,5.253503312,5.466856742,71.86659476,250.230569,6.009222759
Netherfield Lane,1,19.7,Lightsource Renewable Energy,28.565,29856.7474,5.971542931,0.746418685,5.225124246,5.466855649,71.47837632,250.230619,6.009224761
Newton Ferrers,1,19.501,Gruene Energien,28.27645,29555.14879,5.911223208,0.73887872,5.172344488,5.466853584,70.75636261,250.2307136,6.009228542
Chelveston Renewable Energy Park - Solar Extension,1,19.5,FEL Solar,28.275,29553.63322,5.910920094,0.73884083,5.172079263,5.466853573,70.7527344,250.230714,6.009228562
Mingay Farm - extension,1,19.3,Octopus Imvetments,27.985,29250.51903,5.850297256,0.731262976,5.11903428,5.466851454,70.02709247,250.230811,6.009232441
Pentylands Farm,1,19,Moser Baer,27.55,28795.84775,5.759363,0.719896194,5.039466806,5.466848192,68.93862957,250.2309603,6.009238414
Aspatria,1,19,United Photovoltaics,27.55,28795.84775,5.759363,0.719896194,5.039466806,5.466848192,68.93862957,250.2309603,6.009238414
Hadlow Solar Park,1,18.92176,Hadlow Solar Park,27.436552,28677.26948,5.735647346,0.716931737,5.018715609,5.466847324,68.65475845,250.2310001,6.009240002
Branston solar park,1,18.9,Inazin Energy Limited/Low Carbon,27.405,28644.29066,5.729051581,0.716107266,5.012944315,5.466847082,68.57580861,250.2310112,6.009240447
Boxted Airfield,1,18.8,NextEnergy Solar Fund,27.26,28492.73356,5.698740163,0.712318339,4.986421824,5.46684596,68.21298764,250.2310625,6.009242501
Wix Lodge,1,18.7,Sunsave 25 (Wix Lodge Farm) Limited/ Vogt Solar,27.115,28341.17647,5.668428744,0.708529412,4.959899332,5.466844825,67.85016668,250.2311144,6.009244578
Six Hills Solar Farm,1,18.7,Lightsource Renewable Energy,27.115,28341.17647,5.668428744,0.708529412,4.959899332,5.466844825,67.85016668,250.2311144,6.009244578
Rolleston Park Farm,1,18.7,Push Energy (Rolleston),27.115,28341.17647,5.668428744,0.708529412,4.959899332,5.466844825,67.85016668,250.2311144,6.009244578
Fenland Farm,1,18.4,,26.68,27886.50519,5.577494488,0.69716263,4.880331858,5.466841349,66.76170379,250.2312736,6.009250943
Home Farm (Merton - solar),1,18.3,R S Assemblies Limited,26.535,27734.9481,5.547183069,0.693373702,4.853809367,5.466840165,66.39888282,250.2313278,6.009253111
Sundorne,1,18.226,Elgin Energy EsCo,26.4277,27622.79585,5.52475262,0.690569896,4.834182723,5.46683928,66.13039531,250.2313683,6.00925473
Caeremlyn Solar Farm,1,18,Munich RE,26.1,27280.27682,5.456248813,0.68200692,4.774241893,5.466836534,65.31041993,250.231494,6.009259759
Molehill Farm,1,18,Bluefield Solar Income Fund,26.1,27280.27682,5.456248813,0.68200692,4.774241893,5.466836534,65.31041993,250.231494,6.009259759
Pitworthy Farm Solar Park,1,18,Hive Energy,26.1,27280.27682,5.456248813,0.68200692,4.774241893,5.466836534,65.31041993,250.231494,6.009259759
Waterditch Solar Farm,1,18,New Forest Energy,26.1,27280.27682,5.456248813,0.68200692,4.774241893,5.466836534,65.31041993,250.231494,6.009259759
Christchurch Energy,1,18,New Forest Energy Ltd,26.1,27280.27682,5.456248813,0.68200692,4.774241893,5.466836534,65.31041993,250.231494,6.009259759
Bann Road (Rasharkin),1,18,Elgin Energy,26.1,27280.27682,5.456248813,0.68200692,4.774241893,5.466836534,65.31041993,250.231494,6.009259759
Castle Eaton Farm,1,17.8,Hive Energy,25.81,26977.16263,5.395625976,0.674429066,4.72119691,5.466834045,64.584778,250.2316079,6.009264316
Parham Airfield (Great Glenham),1,17.5,AG Renewables Ltd,25.375,26522.49135,5.30469172,0.663062284,4.641629436,5.466830205,63.49631511,250.2317837,6.009271347
Scottow W II,1,17.2,,24.94,26067.82007,5.213757464,0.651695502,4.562061962,5.466826231,62.40785222,250.2319656,6.009278623
Hadley Farm (Orta Membury Solar Farm),1,17,Foresight Solar,24.65,25764.70588,5.153134626,0.644117647,4.509016979,5.466823503,61.68221029,250.2320904,6.009283616
Watnall,1,17,,24.65,25764.70588,5.153134626,0.644117647,4.509016979,5.466823503,61.68221029,250.2320904,6.009283616
Littlebourne,1,17,Bluefield Solar Income Fund,24.65,25764.70588,5.153134626,0.644117647,4.509016979,5.466823503,61.68221029,250.2320904,6.009283616
Odell Glebe Solar Farm,1,16.8,Vento Ludens Ltd,24.36,25461.5917,5.092511789,0.636539792,4.455971997,5.466820711,60.95656836,250.2322182,6.009288729
Turweston Solar Farm,1,16.7,INRG Solar,24.215,25310.0346,5.06220037,0.632750865,4.429449505,5.46681929,60.59374739,250.2322833,6.009291331
Stokes Marsh Farm,1,16.6,South West Solar Parks,24.07,25158.47751,5.031888952,0.628961938,4.402927014,5.466817852,60.23092643,250.2323491,6.009293964
Croydon / Church Farm (Royston),1,16.5,Push Energy/ NESF,23.925,25006.92042,5.001577533,0.62517301,4.376404523,5.466816396,59.86810546,250.2324157,6.009296629
Crucis Farm,1,16.057,Solar Planning Limited,23.28265,24335.52249,4.867297948,0.608388062,4.258909886,5.466809729,58.26080859,250.2327209,6.009308836
Chelveston Airfield,1,16,Chelveston Renewable Energy Limited,23.2,24249.13495,4.85002044,0.606228374,4.243792066,5.466808844,58.05400064,250.2327614,6.009310456
Prestop Park,1,15.852,SunE Prestop Park Limited,22.9854,24024.83045,4.80515954,0.600620761,4.204538779,5.466806518,57.51702562,250.2328679,6.009314716
Pingewood Road South,1,15.8,BayWa/ SunGift,22.91,23946.02076,4.789397602,0.598650519,4.190747083,5.46680569,57.32835871,250.2329058,6.009316231
Albrighton Solar farm,1,15.8,Big 60 Million,22.91,23946.02076,4.789397602,0.598650519,4.190747083,5.46680569,57.32835871,250.2329058,6.009316231
Castle Combe,1,15.32736,Sunsave 17 (Castle Combe) Limited /Vogt Solar,22.224672,23229.70131,4.646133713,0.580742533,4.06539118,5.466797908,55.61352171,250.233262,6.009330479
Hook Valley Solar Park,1,15.3,British Solar Renewables (formerly know as Solar Power Generation),22.185,23188.23529,4.637840509,0.579705882,4.058134626,5.466797443,55.51425389,250.2332833,6.009331331
Bryn yr Odyn Solar Farm,1,15,New Forest Energy Ltd,21.75,22733.56401,4.546906253,0.5683391,3.978567152,5.466792231,54.425791,250.2335218,6.009340873
Court Colman solar park,1,15,Suncredit UK/ Vogt Solar,21.75,22733.56401,4.546906253,0.5683391,3.978567152,5.466792231,54.425791,250.2335218,6.009340873
Manor Farm - Pertenhall,1,15,Prosolia UK,21.75,22733.56401,4.546906253,0.5683391,3.978567152,5.466792231,54.425791,250.2335218,6.009340873
Hammond Court Farm,1,15,Solar Power South,21.75,22733.56401,4.546906253,0.5683391,3.978567152,5.466792231,54.425791,250.2335218,6.009340873
Glebe Farm Solar Energy Park,1,15,Vento Ludens Ltd,21.75,22733.56401,4.546906253,0.5683391,3.978567152,5.466792231,54.425791,250.2335218,6.009340873
Scottow East2,1,15,,21.75,22733.56401,4.546906253,0.5683391,3.978567152,5.466792231,54.425791,250.2335218,6.009340873
SPD 2 Hall Farm,1,14.9147,Solar Park Developments (Blackrock),21.626315,22604.28581,4.521050613,0.565107145,3.955943467,5.466790711,54.11630472,250.2335914,6.009343657
Ellough Solar Farm,1,14.88322,Next Energy Solar Fund Ltd,21.580669,22556.57564,4.511508578,0.563914391,3.947594187,5.466790145,54.00208868,250.2336173,6.009344692
Hill Farm Solar Park (VoWH),1,14.8,Hill Farm Solar Park Limited,21.46,22430.44983,4.486283415,0.560761246,3.92552217,5.466788639,53.70014907,250.2336863,6.00934745
Hardingham Solar Farm,1,14.8,Solar Century/ Bluefield Solar,21.46,22430.44983,4.486283415,0.560761246,3.92552217,5.466788639,53.70014907,250.2336863,6.00934745
Brynteg,1,14.78664,Brynteg Solar,21.440628,22410.2018,4.48223381,0.560255045,3.921978765,5.466788396,53.65167619,250.2336974,6.009347896
Atherstone,1,14.7,Foresight Solar Fund,21.315,22278.89273,4.455971997,0.556972318,3.898999678,5.466786806,53.33732811,250.2337701,6.009350806
Wick Farm Solar Park,1,14.6,Hadstone Energy/ Communities for Renewables,21.17,22127.33564,4.425660578,0.553183391,3.872477187,5.466784949,52.97450714,250.2338552,6.009354207
Waterloo solar park,1,14.6,Lightsource Renewable Energy,21.17,22127.33564,4.425660578,0.553183391,3.872477187,5.466784949,52.97450714,250.2338552,6.009354207
Bilsham Farm,1,14.5,NextEnergy Solar Fund,21.025,21975.77855,4.395349159,0.549394464,3.845954696,5.466783065,52.61168618,250.2339414,6.009357656
Lodge Farm (Poulshot),1,14.5,Hive Energy,21.025,21975.77855,4.395349159,0.549394464,3.845954696,5.466783065,52.61168618,250.2339414,6.009357656
Charity Farm - CfD,1,14.402485,Lightsource Renewable Energy,20.88360325,21827.98765,4.365790979,0.545699691,3.820091288,5.466781203,52.25788131,250.2340266,6.009361065
Bassingbourn Solar Farm,1,14.4,Push Energy,20.88,21824.22145,4.365037741,0.545605536,3.819432204,5.466781156,52.24886521,250.2340288,6.009361152
Little Morton Solar Farm,1,14.3,Lightsource Renewable Energy,20.735,21672.66436,4.334726322,0.541816609,3.792909713,5.466779219,51.88604425,250.2341174,6.009364697
Egmanton Solar Farm - resubmission,1,14.2,United Photovoltaics,20.59,21521.10727,4.304414903,0.538027682,3.766387222,5.466777256,51.52322328,250.2342073,6.009368292
Goose Willow,1,14.1,,20.445,21369.55017,4.274103485,0.534238754,3.73986473,5.466775264,51.16040232,250.2342985,6.009371938
Hafod-Y-Dafal Farm,1,14,KS SPV53 Ltd,20.3,21217.99308,4.243792066,0.530449827,3.713342239,5.466773245,50.79758136,250.2343909,6.009375637
Newnham Estate,1,14,Solstice Renewables,20.3,21217.99308,4.243792066,0.530449827,3.713342239,5.466773245,50.79758136,250.2343909,6.009375637
Littlewood Farm,1,14,,20.3,21217.99308,4.243792066,0.530449827,3.713342239,5.466773245,50.79758136,250.2343909,6.009375637
Marsh Farm,1,14,Steadfast Marsh Solar Ltd - Innogy (previously BELECTRIC Solar) (Wai-Kit Cheung <waikit.cheung@belectric.co.uk>),20.3,21217.99308,4.243792066,0.530449827,3.713342239,5.466773245,50.79758136,250.2343909,6.009375637
Combermere Abbey,1,14,INRG Solar,20.3,21217.99308,4.243792066,0.530449827,3.713342239,5.466773245,50.79758136,250.2343909,6.009375637
Parciau Farm Solar Park,1,13.9,Kronos Solar,20.155,21066.43599,4.213480647,0.5266609,3.686819748,5.466771196,50.43476039,250.2344847,6.009379388
Nova Scotia Farm solar park,1,13.9,Equitix,20.155,21066.43599,4.213480647,0.5266609,3.686819748,5.466771196,50.43476039,250.2344847,6.009379388
Packington Solar Farm,1,13.9,Solstice Renewables,20.155,21066.43599,4.213480647,0.5266609,3.686819748,5.466771196,50.43476039,250.2344847,6.009379388
Foston,1,13.6,,19.72,20611.76471,4.122546391,0.515294118,3.607252274,5.466764868,49.3462975,250.2347743,6.009390973
Honington Solar Farm,1,13.6,NextEnergy Solar Fund (NESF),19.72,20611.76471,4.122546391,0.515294118,3.607252274,5.466764868,49.3462975,250.2347743,6.009390973
Clawdd Ddu,1,13.521,Elgin Energy EsCo,19.60545,20492.0346,4.09860037,0.512300865,3.586299505,5.466763155,49.05966894,250.2348527,6.00939411
Roundponds Farm Solar Park,1,13.5,Hive Energy,19.575,20460.20761,4.092234972,0.51150519,3.580729782,5.466762697,48.98347653,250.2348737,6.00939495
Ballinderry Road Solar Phase 1 (Lisburn),1,13.5,Hadstone Energy/Island Green Power,19.575,20460.20761,4.092234972,0.51150519,3.580729782,5.466762697,48.98347653,250.2348737,6.00939495
Hendai Farm,1,13.4,Conergy UK,19.43,20308.65052,4.061923554,0.507716263,3.554207291,5.466760493,48.62065557,250.2349746,6.009398985
Homeland Solar Farm,1,13.2,Foresight,19.14,20005.53633,4.001300716,0.500138408,3.501162308,5.466755984,47.89501364,250.235181,6.00940724
Eynsham Solar Farm,1,13.2,Belltown Power,19.14,20005.53633,4.001300716,0.500138408,3.501162308,5.466755984,47.89501364,250.235181,6.00940724
Langford Solar Farm,1,13.1835,Lark Energy,19.116075,19980.52941,3.996299332,0.499513235,3.496786097,5.466755606,47.83514818,250.2351983,6.009407932
Folly Farm,1,13.1,Hive Energy,18.995,19853.97924,3.970989298,0.496349481,3.474639817,5.466753679,47.53219268,250.2352865,6.009411461
Hoback Farm,1,13.1,TGC Renewables,18.995,19853.97924,3.970989298,0.496349481,3.474639817,5.466753679,47.53219268,250.2352865,6.009411461
Burthy,1,13.08042,Elgin Energy EsCo,18.966609,19824.30436,3.965054322,0.495607609,3.469446713,5.466753223,47.46115233,250.2353074,6.009412296
Fiskerton Solar Farm,1,13.04248,Lark Energy,18.911596,19766.8036,3.95355417,0.49417009,3.45938408,5.466752336,47.32349806,250.235348,6.009413919
Wedgehill Farm,1,13,Orta Solar,18.85,19702.42215,3.940677879,0.492560554,3.448117325,5.466751337,47.16937171,250.2353937,6.009415748
Elwick,1,13,,18.85,19702.42215,3.940677879,0.492560554,3.448117325,5.466751337,47.16937171,250.2353937,6.009415748
Ballygarvey Road,1,13,Elgin Energy EsCo,18.85,19702.42215,3.940677879,0.492560554,3.448117325,5.466751337,47.16937171,250.2353937,6.009415748
Errol Estate,1,13,Elgin Energy EsCo,18.85,19702.42215,3.940677879,0.492560554,3.448117325,5.466751337,47.16937171,250.2353937,6.009415748
Rowles Farm solar park,1,13,United Photovoltaics,18.85,19702.42215,3.940677879,0.492560554,3.448117325,5.466751337,47.16937171,250.2353937,6.009415748
Chisbon Solar Farm (Frowick Lane),1,13,ESCO NRG,18.85,19702.42215,3.940677879,0.492560554,3.448117325,5.466751337,47.16937171,250.2353937,6.009415748
Luscott Barton,1,13,Sunsave 7 Luscott Barton Ltd/ vogt Solar,18.85,19702.42215,3.940677879,0.492560554,3.448117325,5.466751337,47.16937171,250.2353937,6.009415748
Roves Farm (Solar) - resubmission,1,12.7,Bluefield Solar,18.415,19247.75087,3.849743623,0.481193772,3.368549851,5.466744092,46.08090882,250.2357253,6.009429013
Grange Farm (Lincolnshire),1,12.7,Green Switch Solutions,18.415,19247.75087,3.849743623,0.481193772,3.368549851,5.466744092,46.08090882,250.2357253,6.009429013
Bodorgan Solar Farm,1,12.6,Anesco,18.27,19096.19377,3.819432204,0.477404844,3.34202736,5.466741601,45.71808786,250.2358394,6.009433575
Gosfield Airfield,1,12.6,Push Energy,18.27,19096.19377,3.819432204,0.477404844,3.34202736,5.466741601,45.71808786,250.2358394,6.009433575
Westerfield Farm - resubmission,1,12.5,Lightsource Renewable Energy,18.125,18944.63668,3.789120786,0.473615917,3.315504869,5.466739069,45.35526689,250.2359553,6.00943821
New Stone House,1,12.5,INRG Solar,18.125,18944.63668,3.789120786,0.473615917,3.315504869,5.466739069,45.35526689,250.2359553,6.00943821
Toggam Farm,1,12.5,Forest Heath District Council,18.125,18944.63668,3.789120786,0.473615917,3.315504869,5.466739069,45.35526689,250.2359553,6.00943821
Crannaford Solar Farm,1,12.5,MS Power Projects Ltd (Mr L Mark),18.125,18944.63668,3.789120786,0.473615917,3.315504869,5.466739069,45.35526689,250.2359553,6.00943821
Lodge Farm - Orston,1,12.4,Lightsource Renewable Energy,17.98,18793.07958,3.758809367,0.46982699,3.288982377,5.466736497,44.99244593,250.236073,6.00944292
Boscombe Airfield,1,12.3,Lark Energy,17.835,18641.52249,3.728497948,0.466038062,3.262459886,5.466733883,44.62962496,250.2361927,6.009447707
Condover Airfield,1,12.3,Lightsource Renewable Energy,17.835,18641.52249,3.728497948,0.466038062,3.262459886,5.466733883,44.62962496,250.2361927,6.009447707
Chediston Hall Solar Park,1,12.3,Lightsource Renewable Energy,17.835,18641.52249,3.728497948,0.466038062,3.262459886,5.466733883,44.62962496,250.2361927,6.009447707
Hale Farm Solar,1,12.23156,Hale Solar Limited,17.735762,18537.79682,3.707752813,0.46344492,3.244307893,5.466732069,44.38131029,250.2362757,6.009451028
Highfields Farm (Colchester),1,12.2,Hive Energy,17.69,18489.9654,3.69818653,0.462249135,3.235937395,5.466731226,44.266804,250.2363143,6.009452572
Fairwinds,1,12.19689,MS Power Projects Ltd,17.6854905,18485.25197,3.697243844,0.462131299,3.235112545,5.466731142,44.25552027,250.2363181,6.009452724
Shoals Hook Farm,1,12.1,John Laing Environmental Assets (formerly Camborne Capital),17.545,18338.4083,3.667875111,0.458460208,3.209414903,5.466728525,43.90398303,250.2364379,6.009457517
Littleton,1,12.1,Lightsource Renewable Energy,17.545,18338.4083,3.667875111,0.458460208,3.209414903,5.466728525,43.90398303,250.2364379,6.009457517
Leverton Ings,1,12,Hazel Capital,17.4,18186.85121,3.637563692,0.45467128,3.182892412,5.466725779,43.54116207,250.2365636,6.009462545
Bakers Farm (solar),1,12,Quercus Renewable Holding 2,17.4,18186.85121,3.637563692,0.45467128,3.182892412,5.466725779,43.54116207,250.2365636,6.009462545
Malmaynes Hall Farm,1,12,Wessex Solar Energy,17.4,18186.85121,3.637563692,0.45467128,3.182892412,5.466725779,43.54116207,250.2365636,6.009462545
Kernick Mica Dam - Solar Farm,1,12,Mr Mark Shorrock,17.4,18186.85121,3.637563692,0.45467128,3.182892412,5.466725779,43.54116207,250.2365636,6.009462545
Mount Mill Farm - resubmission,1,12,OPDE,17.4,18186.85121,3.637563692,0.45467128,3.182892412,5.466725779,43.54116207,250.2365636,6.009462545
Rydon Farm,1,12,MTS Rydon Solar,17.4,18186.85121,3.637563692,0.45467128,3.182892412,5.466725779,43.54116207,250.2365636,6.009462545
Bishop's Waltham Solar Farm,1,12,Solafields U/Bishop's Waltham Renewables Ltd,17.4,18186.85121,3.637563692,0.45467128,3.182892412,5.466725779,43.54116207,250.2365636,6.009462545
Upper Farm solar park,1,12,Kronos Solar,17.4,18186.85121,3.637563692,0.45467128,3.182892412,5.466725779,43.54116207,250.2365636,6.009462545
Spittleborough Farm,1,12,MTS Spittleborough Solar Ltd,17.4,18186.85121,3.637563692,0.45467128,3.182892412,5.466725779,43.54116207,250.2365636,6.009462545
Bishops Sutton,1,12,Lightsource Renewable Energy,17.4,18186.85121,3.637563692,0.45467128,3.182892412,5.466725779,43.54116207,250.2365636,6.009462545
Spriggs Farm,1,12,Abic,17.4,18186.85121,3.637563692,0.45467128,3.182892412,5.466725779,43.54116207,250.2365636,6.009462545
